"","LocationID","avg_tip","num_trips","Borough","Zone"
"1",194,0.247993705416204,332,"Manhattan","Randalls Island"
"2",39,0.243345927344257,109,"Brooklyn","Canarsie"
"3",197,0.229797133801785,127,"Queens","Richmond Hill"
"4",195,0.224718576505531,423,"Brooklyn","Red Hook"
"5",257,0.223089716298671,212,"Brooklyn","Windsor Terrace"
"6",28,0.222642654559521,307,"Queens","Briarwood/Jamaica Hills"
"7",216,0.220658027937805,427,"Queens","South Ozone Park"
"8",93,0.219413841929542,815,"Queens","Flushing Meadows-Corona Park"
"9",115,0.216578512235431,141,"Staten Island","Grymes Hill/Clifton"
"10",219,0.216065399728113,286,"Queens","Springfield Gardens South"
"11",130,0.216044186351905,523,"Queens","Jamaica"
"12",157,0.215599280738764,184,"Queens","Maspeth"
"13",69,0.215576029910773,119,"Bronx","East Concourse/Concourse Village"
"14",40,0.215102280336488,3537,"Brooklyn","Carroll Gardens"
"15",10,0.214635544390003,1071,"Queens","Baisley Park"
"16",70,0.21176393780238,853,"Queens","East Elmhurst"
"17",228,0.211519032490336,538,"Brooklyn","Sunset Park West"
"18",1,0.211367551913981,352,"EWR","Newark Airport"
"19",223,0.211205651978405,3014,"Queens","Steinway"
"20",56,0.210909840265077,167,"Queens","Corona"
"21",145,0.210612712215654,5869,"Queens","Long Island City/Hunters Point"
"22",12,0.20996900212745,2555,"Manhattan","Battery Park"
"23",198,0.209659759707946,188,"Queens","Ridgewood"
"24",80,0.209470436264921,4547,"Brooklyn","East Williamsburg"
"25",138,0.209227986918412,177262,"Queens","LaGuardia Airport"
"26",134,0.208253355812214,202,"Queens","Kew Gardens"
"27",196,0.20789643799993,292,"Queens","Rego Park"
"28",106,0.207838857064243,1088,"Brooklyn","Gowanus"
"29",13,0.207678432778273,70182,"Manhattan","Battery Park City"
"30",14,0.206789867092093,159,"Brooklyn","Bay Ridge"
"31",215,0.206734955303811,411,"Queens","South Jamaica"
"32",162,0.206586309588615,224543,"Manhattan","Midtown East"
"33",113,0.206564622969713,107513,"Manhattan","Greenwich Village North"
"34",181,0.205645665459288,7225,"Brooklyn","Park Slope"
"35",52,0.205207962709607,3692,"Brooklyn","Cobble Hill"
"36",129,0.205188673252747,1703,"Queens","Jackson Heights"
"37",170,0.204998273994604,225818,"Manhattan","Murray Hill"
"38",186,0.204963505007665,213759,"Manhattan","Penn Station/Madison Sq West"
"39",92,0.204957314115663,150,"Queens","Flushing"
"40",25,0.204578481927141,5988,"Brooklyn","Boerum Hill"
"41",261,0.204425624533398,33769,"Manhattan","World Trade Center"
"42",249,0.204359962753402,145591,"Manhattan","West Village"
"43",217,0.204145632427013,386,"Brooklyn","South Williamsburg"
"44",189,0.203900092152309,1842,"Brooklyn","Prospect Heights"
"45",88,0.203671216539297,27417,"Manhattan","Financial District South"
"46",233,0.203204216156085,89363,"Manhattan","UN/Turtle Bay South"
"47",161,0.203112866206518,230968,"Manhattan","Midtown Center"
"48",37,0.203093216161041,2309,"Brooklyn","Bushwick South"
"49",125,0.202948964531451,40100,"Manhattan","Hudson Sq"
"50",34,0.202590420522316,220,"Brooklyn","Brooklyn Navy Yard"
"51",234,0.202565742651468,231888,"Manhattan","Union Sq"
"52",112,0.202523033927767,3709,"Brooklyn","Greenpoint"
"53",144,0.202486601155305,76284,"Manhattan","Little Italy/NoLiTa"
